# sec glat glon
900 82.39149 14.51151
901 82.40807 14.51400
902 82.42465 14.51653
903 82.44125 14.51909
904 82.45786 14.52169
905 82.47448 14.52432
906 82.49112 14.52698
907 82.50777 14.52968
908 82.52442 14.53242
909 82.54110 14.53519
910 82.55778 14.53800
911 82.57448 14.54085
912 82.59119 14.54373
913 82.60791 14.54665
914 82.62465 14.54961
915 82.64140 14.55260
916 82.65816 14.55564
917 82.67493 14.55871
918 82.69172 14.56182
919 82.70852 14.56497
920 82.72534 14.56816
921 82.74216 14.57138
922 82.75900 14.57465
923 82.77586 14.57796
924 82.79272 14.58131
925 82.80960 14.58471
926 82.82650 14.58814
927 82.84341 14.59161
928 82.86033 14.59513
929 82.87726 14.59869
930 82.89421 14.60229
931 82.91117 14.60594
932 82.92815 14.60963
933 82.94514 14.61337
934 82.96214 14.61714
935 82.97916 14.62097
936 82.99619 14.62484
937 83.01324 14.62875
938 83.03030 14.63271
939 83.04737 14.63672
940 83.06446 14.64078
941 83.08156 14.64488
942 83.09868 14.64903
943 83.11581 14.65323
944 83.13296 14.65748
945 83.15012 14.66177
946 83.16729 14.66612
947 83.18448 14.67052
948 83.20169 14.67497
949 83.21890 14.67946
950 83.23614 14.68401
951 83.25339 14.68862
952 83.27065 14.69327
953 83.28793 14.69798
954 83.30523 14.70274
955 83.32254 14.70756
956 83.33986 14.71243
957 83.35720 14.71735
958 83.37456 14.72233
959 83.39193 14.72737
960 83.40931 14.73246
961 83.42671 14.73761
962 83.44413 14.74282
963 83.46156 14.74809
964 83.47901 14.75341
965 83.49648 14.75880
966 83.51396 14.76425
967 83.53145 14.76975
968 83.54897 14.77532
969 83.56649 14.78095
970 83.58404 14.78664
971 83.60160 14.79240
972 83.61918 14.79822
973 83.63677 14.80410
974 83.65438 14.81005
975 83.67200 14.81606
976 83.68965 14.82214
977 83.70731 14.82829
978 83.72498 14.83451
979 83.74267 14.84079
980 83.76038 14.84714
981 83.77811 14.85357
982 83.79585 14.86006
983 83.81361 14.86663
984 83.83139 14.87326
985 83.84918 14.87997
986 83.86699 14.88676
987 83.88482 14.89362
988 83.90267 14.90055
989 83.92053 14.90756
990 83.93841 14.91465
991 83.95631 14.92181
992 83.97422 14.92905
993 83.99216 14.93638
994 84.01011 14.94378
995 84.02808 14.95126
996 84.04606 14.95883
997 84.06407 14.96647
998 84.08209 14.97421
999 84.10013 14.98202
1000 84.11819 14.98993
1001 84.13627 14.99791
1002 84.15436 15.00599
1003 84.17248 15.01416
1004 84.19061 15.02241
1005 84.20876 15.03076
1006 84.22693 15.03919
1007 84.24512 15.04772
1008 84.26332 15.05635
1009 84.28155 15.06507
1010 84.29980 15.07388
1011 84.31806 15.08279
1012 84.33634 15.09180
1013 84.35464 15.10091
1014 84.37296 15.11012
1015 84.39130 15.11943
1016 84.40966 15.12884
1017 84.42804 15.13836
1018 84.44644 15.14798
1019 84.46486 15.15771
1020 84.48330 15.16755
1021 84.50175 15.17749
1022 84.52023 15.18755
1023 84.53873 15.19772
1024 84.55725 15.20800
1025 84.57578 15.21840
1026 84.59434 15.22891
1027 84.61292 15.23954
1028 84.63151 15.25028
1029 84.65013 15.26115
1030 84.66876 15.27214
1031 84.68742 15.28325
1032 84.70608 15.29448
1033 84.72477 15.30583
1034 84.74346 15.31730
1035 84.76215 15.32889
1036 84.78083 15.34060
1037 84.79948 15.35240
1038 84.81807 15.36428
1039 84.83653 15.37619
1040 84.85473 15.38807
1041 84.87248 15.39975
1042 84.88945 15.41104
1043 84.90524 15.42163
1044 84.91941 15.43122
1045 84.93164 15.43956
1046 84.94181 15.44655
1047 84.95005 15.45225
1048 84.95666 15.45684
1049 84.96196 15.46055
1050 84.96627 15.46358
1051 84.96984 15.46610
1052 84.97286 15.46823
1053 84.97544 15.47007
1054 84.97769 15.47167
1055 84.97967 15.47309
1056 84.98143 15.47436
1057 84.98302 15.47550
1058 84.98446 15.47655
1059 84.98578 15.47750
1060 84.98699 15.47839
1061 84.98811 15.47921
1062 84.98915 15.47997
1063 84.99012 15.48068
1064 84.99102 15.48134
1065 84.99186 15.48197
1066 84.99265 15.48255
1067 84.99338 15.48310
1068 84.99407 15.48361
1069 84.99472 15.48410
1070 84.99533 15.48456
1071 84.99590 15.48499
1072 84.99643 15.48539
1073 84.99693 15.48577
1074 84.99741 15.48613
1075 84.99785 15.48647
1076 84.99827 15.48679
1077 84.99866 15.48709
1078 84.99902 15.48737
1079 84.99937 15.48764
1080 84.99969 15.48789
1081 85.00000 15.48813
1082 85.00028 15.48835
1083 85.00055 15.48856
1084 85.00080 15.48876
1085 85.00104 15.48894
1086 85.00126 15.48912
