# sec glat glon
609 78.90074 14.00459
610 78.91883 14.00096
611 78.93694 13.99734
612 78.95505 13.99371
613 78.97316 13.99009
614 78.99129 13.98647
615 79.00942 13.98285
616 79.02756 13.97924
617 79.04571 13.97562
618 79.06387 13.97201
619 79.08204 13.96840
620 79.10021 13.96479
621 79.11839 13.96118
622 79.13658 13.95758
623 79.15478 13.95397
624 79.17298 13.95037
625 79.19120 13.94677
626 79.20942 13.94318
627 79.22765 13.93958
628 79.24589 13.93599
629 79.26414 13.93240
630 79.28239 13.92881
631 79.30066 13.92522
632 79.31893 13.92164
633 79.33721 13.91805
634 79.35550 13.91447
635 79.37380 13.91090
636 79.39211 13.90732
637 79.41043 13.90375
638 79.42875 13.90017
639 79.44709 13.89660
640 79.46543 13.89304
641 79.48378 13.88947
642 79.50214 13.88591
643 79.52051 13.88235
644 79.53889 13.87879
645 79.55728 13.87524
646 79.57568 13.87168
647 79.59409 13.86813
648 79.61251 13.86458
649 79.63094 13.86103
650 79.64937 13.85749
651 79.66782 13.85395
652 79.68627 13.85041
653 79.70474 13.84687
654 79.72322 13.84334
655 79.74170 13.83981
656 79.76019 13.83628
657 79.77870 13.83275
658 79.79721 13.82922
659 79.81574 13.82570
660 79.83427 13.82218
661 79.85282 13.81866
662 79.87137 13.81515
663 79.88994 13.81164
664 79.90851 13.80813
665 79.92710 13.80462
666 79.94570 13.80112
667 79.96430 13.79762
668 79.98292 13.79412
669 80.00155 13.79062
670 80.02019 13.78713
671 80.03883 13.78364
672 80.05749 13.78015
673 80.07616 13.77666
674 80.09485 13.77318
675 80.11354 13.76970
676 80.13224 13.76623
677 80.15095 13.76275
678 80.16968 13.75928
679 80.18842 13.75581
680 80.20716 13.75235
681 80.22592 13.74889
682 80.24469 13.74543
683 80.26347 13.74197
684 80.28226 13.73852
685 80.30107 13.73507
686 80.31988 13.73162
687 80.33871 13.72818
688 80.35755 13.72473
689 80.37640 13.72130
690 80.39526 13.71786
691 80.41414 13.71443
692 80.43302 13.71100
693 80.45192 13.70758
694 80.47083 13.70415
695 80.48975 13.70074
696 80.50868 13.69732
697 80.52763 13.69391
698 80.54659 13.69050
699 80.56556 13.68709
700 80.58454 13.68369
701 80.60354 13.68029
702 80.62254 13.67690
703 80.64156 13.67350
704 80.66060 13.67012
705 80.67964 13.66673
706 80.69870 13.66335
707 80.71777 13.65997
708 80.73685 13.65660
709 80.75595 13.65323
710 80.77506 13.64986
711 80.79418 13.64649
712 80.81332 13.64313
713 80.83246 13.63978
714 80.85163 13.63643
715 80.87080 13.63308
716 80.88999 13.62973
717 80.90919 13.62639
718 80.92840 13.62306
719 80.94763 13.61972
720 80.96688 13.61639
721 80.98613 13.61307
722 81.00540 13.60975
723 81.02468 13.60643
724 81.04398 13.60312
725 81.06329 13.59981
726 81.08262 13.59650
727 81.10196 13.59320
728 81.12131 13.58990
729 81.14068 13.58661
730 81.16006 13.58332
731 81.17945 13.58004
732 81.19886 13.57676
733 81.21829 13.57349
734 81.23773 13.57021
735 81.25718 13.56695
736 81.27665 13.56369
737 81.29613 13.56043
738 81.31563 13.55718
739 81.33514 13.55393
740 81.35467 13.55068
741 81.37421 13.54745
742 81.39377 13.54421
743 81.41334 13.54098
744 81.43293 13.53776
745 81.45253 13.53454
746 81.47215 13.53132
747 81.49178 13.52811
748 81.51143 13.52491
749 81.53110 13.52171
750 81.55078 13.51851
751 81.57047 13.51532
752 81.59018 13.51214
753 81.60991 13.50896
754 81.62966 13.50578
755 81.64941 13.50261
756 81.66919 13.49945
757 81.68898 13.49629
758 81.70879 13.49314
759 81.72861 13.48999
760 81.74845 13.48685
761 81.76831 13.48371
762 81.78818 13.48058
763 81.80807 13.47746
764 81.82797 13.47434
765 81.84789 13.47123
766 81.86782 13.46813
767 81.88777 13.46503
768 81.90773 13.46194
769 81.92771 13.45886
770 81.94769 13.45578
771 81.96768 13.45271
772 81.98767 13.44965
773 82.00766 13.44660
774 82.02763 13.44356
775 82.04757 13.44054
776 82.06744 13.43753
777 82.08720 13.43456
778 82.10677 13.43162
779 82.12605 13.42873
780 82.14486 13.42592
781 82.16301 13.42322
782 82.18024 13.42067
783 82.19627 13.41831
784 82.21084 13.41617
785 82.22376 13.41428
786 82.23497 13.41265
787 82.24454 13.41127
788 82.25267 13.41011
789 82.25959 13.40912
790 82.26553 13.40828
791 82.27068 13.40756
792 82.27518 13.40693
793 82.27914 13.40638
794 82.28266 13.40590
795 82.28582 13.40547
796 82.28866 13.40509
797 82.29123 13.40474
798 82.29359 13.40443
799 82.29575 13.40415
800 82.29774 13.40389
801 82.29959 13.40365
802 82.30132 13.40343
803 82.30293 13.40323
804 82.30444 13.40304
